,driver_id,month,year,total_income,total_km,num_drives,total_time,gender,age,vetek,kviut,average_km
0,1,april,2015,136035.7669961922,8637.293215397744,27,114.38871078,f,41.0,1.4,1.0,319.8997487184349
1,1,august,2015,170221.69331577898,9642.550837719959,27,123.65,f,41.0,1.4,1.0,357.1315125081466
2,1,december,2015,132109.3720314535,8815.9539302061,27,119.76666666666667,f,41.0,1.4,1.0,326.5168122298556
3,1,february,2015,99823.4744844634,6437.844950665346,26,90.63700276944445,f,41.0,1.4,1.0,247.6094211794364
4,1,january,2015,182221.77915013448,11246.923101453565,27,144.8,f,41.0,1.4,1.0,416.5527074612432
5,1,july,2015,136229.31347958746,8968.232705191798,27,116.41666666666667,f,41.0,1.4,1.0,332.1567668589555
6,1,june,2015,124084.45292230273,9051.684642591717,26,134.00689868749998,f,41.0,1.4,1.0,348.14171702275837
7,1,march,2015,180365.8282987121,9501.577406956965,26,123.3,f,41.0,1.4,1.0,365.4452848829602
8,1,may,2015,229529.34736356285,12152.974322554583,27,161.35,f,41.0,1.4,1.0,450.1101600946142
9,1,november,2015,157707.18693519672,10394.80675511446,26,123.48333333333333,f,41.0,1.4,1.0,399.8002598120946
10,1,october,2015,188614.40424582647,10264.238931534408,26,130.86666666666667,f,41.0,1.4,1.0,394.7784204436311
11,1,september,2015,166431.890397358,9753.716638625872,26,131.4328378375,f,41.0,1.4,1.0,375.1429476394566
12,2,april,2015,124733.0819982862,7252.609765981618,27,95.05663587888888,m,63.0,1.0,1.0,268.6151765178377
13,2,august,2015,215087.35477661283,11747.136489783874,26,154.03333333333333,m,63.0,1.0,1.0,451.8129419147644
14,2,december,2015,139630.42598479733,9382.26556199788,26,126.83333333333333,m,63.0,1.0,1.0,360.8563677691492
15,2,february,2015,254014.5462644335,11423.608102577864,27,146.63274289694445,m,63.0,1.0,1.0,423.0965963917727
16,2,january,2015,168658.97562981956,9616.13601760665,27,124.58333333333333,m,63.0,1.0,1.0,356.15318583728333
17,2,july,2015,234315.7665071704,11001.788917447364,26,151.03333333333333,m,63.0,1.0,1.0,423.14572759412937
18,2,june,2015,146958.73806765248,9725.471346083768,27,129.1886476375,m,63.0,1.0,1.0,360.20264244754696
19,2,march,2015,87453.13136389421,7483.835061689613,27,101.93333333333334,m,63.0,1.0,1.0,277.17907635887457
20,2,may,2015,216762.25687396445,10748.87852451149,27,155.31333016138888,m,63.0,1.0,1.0,398.1066120189441
21,2,november,2015,115434.36353951995,7520.053865853709,27,107.35,m,63.0,1.0,1.0,278.52051355013737
